rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,1,15,"868313"
2,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",1,2,15,"769863"
3,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",3,3,15,"648838"
4,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",2,4,15,"617142"
5,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",1,5,50,"577561"
6,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",2,6,15,"534377"
7,"spotify:track:7ricDBUakN3N0YkkKE8Obu","Beéle, Ovy On The Drums","mi refe","5020 Records",7,7,41,"431792"
8,"spotify:track:5WEF0icHWmAZBBMglBd599","Bad Bunny, Chuwi","WELTiTA","Rimas Entertainment LLC.",7,8,15,"425961"
9,"spotify:track:0qeIFEGRQqHoaJtLCl0U73","Myke Towers, benny blanco","DEGENERE 👑 (feat. benny blanco)","WEA Latina",1,10,94,"404103"
10,"spotify:track:4zbEItKoaRId1vRZkoO0Uh","Danny Ocean, Kapo","Imagínate","Atlantic Records",3,11,73,"380107"
11,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",9,9,15,"366319"
12,"spotify:track:7lcbpfihslisNObKdHjyLo","Clarent, Mora","IA","WEA Latina",1,18,94,"364454"
13,"spotify:track:1gRaHuKLW9Uo9qYkb7MvGP","Bad Gyal, Trueno","Angelito","Interscope Records / Universal Music Latino",7,12,3,"358299"
14,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",1,13,66,"326977"
15,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",10,14,15,"318394"
16,"spotify:track:6TT5rB0Rwneb6ZaopHQir4","Alleh, Yorghaki","el ingeniero","CONMUER LLC",13,15,22,"310504"
17,"spotify:track:6VNXmo59yDYgcwLS17UNAW","Bad Bunny, Los Pleneros de la Cresta","CAFé CON RON","Rimas Entertainment LLC.",15,16,15,"305941"
18,"spotify:track:1Q9Efnm5csdCMFynISxL2x","Bad Bunny, RaiNao","PERFuMITO NUEVO","Rimas Entertainment LLC.",6,17,15,"291019"
19,"spotify:track:0iKo4pNNjHHdKUcFARlfCa","Bad Bunny","EL CLúB","Rimas Entertainment LLC.",3,19,45,"279194"
20,"spotify:track:2kQ1OvmMzs1xdlH020aJJh","Quevedo, Aitana","GRAN VÍA","2024 DQE Productions Distribuido por RIMAS Entertainment",1,20,60,"274633"
21,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,21,213,"269731"
22,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",6,23,92,"264815"
23,"spotify:track:6aO53Wsz32bgMBytw6pIYm","Cano","Se Pone Las Nike","WM Spain",4,22,83,"248861"
24,"spotify:track:4c2Pc0NrfkesPR0jff6q3F","Bad Bunny","KETU TeCRÉ","Rimas Entertainment LLC.",9,24,15,"228246"
25,"spotify:track:7tCuCjhxzjX2XCz4JiiAsp","Bad Bunny","TURiSTA","Rimas Entertainment LLC.",14,25,15,"223629"
26,"spotify:track:1LX9Kq7JFcEINO2a04WI2M","Lola Indigo, Maria Becerra, Villano Antillano","LA REINA - REMIX","Universal Music Spain S.L.",20,32,3,"221895"
27,"spotify:track:3G7agPwWfcORnWCAGMDOpm","Bad Bunny","LA MuDANZA","Rimas Entertainment LLC.",21,26,15,"218152"
28,"spotify:track:14QaXYIK3K3QPtezqxRRPN","Bad Bunny","PIToRRO DE COCO","Rimas Entertainment LLC.",6,28,25,"215173"
29,"spotify:track:1QAvmMUR9gDtKr9OCtCzh1","Moncho Chavea, Morad","SE FUE","Virgin Music Spain",10,27,31,"214954"
30,"spotify:track:79x7xtoCLpf6l32Zz6mWo4","Bad Bunny","BOKeTE","Rimas Entertainment LLC.",12,29,15,"213728"
31,"spotify:track:634CTghcuEDy2FXcTsLG5m","Alleh, Yorghaki","una noche","CONMUER LLC",28,30,21,"206179"
32,"spotify:track:58ldPuiCULxm08TCZ8qX4D","Quevedo, La Pantera","HALO","2024 DQE Productions Distribuido por RIMAS Entertainment",6,31,59,"205492"
33,"spotify:track:5AGnkbWCiF9u4ra54N9X1a","Bizarrap, Luck Ra","Luck Ra: Bzrp Music Sessions, Vol. 61","DALE PLAY Records",11,33,23,"203758"
34,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",8,36,66,"199026"
35,"spotify:track:2mnehJ4xPqFe4cNi7BG2rc","JC Reyes","STAR","JC Reyes",7,34,94,"193666"
36,"spotify:track:0Sr7ssScx54yxdM2ols7nW","Omar Courtz, De La Rose","Q U E V A S H A C E R H O Y ?","Mr.305 Records / Rimas Entertainment LLC.",1,37,122,"193410"
37,"spotify:track:0glj70T9fN3kyJzYmTKzy1","Los Sufridos, Bad Gyal","Duro De Verdad pt.2","Interscope Records",1,41,126,"188795"
